id,question,trending_score
317,What do you secretly judge people for?,105.1
299,My boyfriend wants an "open relationship." Should I dump him?,105.3
605,Favorite Bioshock game?,105.3
381,First flower up in your garden?,105.4
352,Do you prefer vacations with mountains and rivers or the beach?,106
879,Which OS is the best?,106.2
654,Will Federer win Wimbledon?,106.3
874,Motorola or Samsung mobiles?,106.9
843,If you could be stuck in 1 period of your life for eternity, which would it be?,107
616,Will Bernie win California?,107.2
871,How often have you won the lottery?,107.5
618,What is your favorite way to clean your nasal passages?,107.7
391,Who will win the NCAA tournament?,107.7
343,Who's a better coach: Bear Bryant or Nick Saban?,107.9
848,Who would you rather vote for?,108
651,Drake or Chance, who ya got?,108.1
332,Do you care about Hillary's emails?,108.3
344,My girlfriend asked me to get a puppy, does that mean we're getting serious?,108.6
267,DC or Marvel,108.7
361,Spotify or Pandora?,108.7
622,Who is your favourite supporting character from Friends?,108.7
885,Who is God?,108.7
336,What is your opinion of Miley Cyrus?,109.1
641,Cupcakes or Birthday Cake?,109.1
635,Would you rather take a cruise or stay at an all-inclusive resort?,109.4
647,Which is more annoying ?,110.9
889,Muscular or dad bod?,111.1
292,Is Die Hard a Christmas movie?,111.2
325,I'll always remember Alan Rickman for... ?,111.3
873,Audi, BMW or Mercedes?,111.3
379,What is John Cusack's best movie role?,111.5
321,are you a dog person or a cat person?,111.6
884,Which Pokemon Go Team is the Best?,111.8
356,Who wins the NH Republican Primary?,111.9
620,Will I pass my math special exam?,112.3
1069,Do Johnson and Weld have a chance?,113.8
602,What's your favorite gameshow?,113.9
645,Is it better to know WHEN you are going to die, or HOW?,113.9
643,Would you rather be shot in the foot or eat a cockroach,115
870,Which is best video game franchise?,115.4
908,Would you rather have to use the original 2007 iPhone, or a 2016 flip phone?,115.9
388,Best Lake?,116.1
1072,Would it hurt more to lose an arm or lose a leg?,116.4
700,Who is next after Brexit?,116.5
642,Aquarium or Zoo?,116.8
1228,Will Rogue One be better than The Force Awakens?,116.8
368,Who is the more devout communist?,116.9
909,If you had to, would you rather relive your birth, or watch your conception?,117.2
367,Who will be the big winner at the Grammys?,119.7
649,Jimmy Carter suggests getting private money out of US elections and using tax dollars to fund them instead, is this a good idea?,120.2
883,Which hair color is sexier?,120.4
178,What's your favorite beer at Monktoberfest (dinner)?,120.4
624,Would you vote for a candidate solely because they were a member of your group (gender, race, religion, etc.)?,121.1
655,Joey or Chandler,122.1
604,Do you think the world should end now?,122.5
617,Black Widow or Supergirl?,122.6
355,Is the criticism of Cam Newton racist?,122.8
370,Is Lebron James coachable? ,122.8
369,Who won the Grammys red carpet?,123
639,Bigger badass: The Rock or Vin Diesel?,123.2
626,Which is a better movie franchise?,124.4
208,My girlfriend doesn't watch horror movies. Which one should I terrorize her with this weekend?,125.1
603,Clean or dirty kicks?,125.5
342,If it comes down to Trump vs Sanders?,125.6
894,Who's the best? ,128
606,Should the US switch to the metric system?,128.1
887,Is it fair for Pokemon to shut down the Pokemon Go tracking apps?,129.7
608,How will you remember Muhammad Ali?,129.9
802,Would you rather have free wifi or free healthcare?,130.6
609,Fast And Furious or Mission Impossible- Which Hollywood action film series is the best?,130.8
660,Better celebration: Birthday or Christmas?,131
331,What movie is better than the book it was based on?,131.2
625,Would you vote for a candidate you strongly opposed solely because they were the representative of your political party?,131.6
348,Which book is the most overrated?,131.9
892,Chocolate or not chocolate?,132.8
875,iPhone or Samsung,133
346,Is it more important for kids to learn sportsmanship or skills?,133.5
623,Who's more embarrassing for the US: Trump or The Kardashians,133.6
907,Who is best: Messi or Ronaldo?,133.8
653,Is an athlete who uses steroids (PEDs) cheating?,133.8
650,Which one do you think is a better love story, Twilight or Fifty Shades?,133.9
627,Is math the most difficult subject in school? ,134.8
374,Is going from two to three kids easier then one to two?,135.2
644,Do you prefer boobs or butts?,135.8
402,Who wins the NCAA Tournament?,135.8
893,Tacos or not tacos?,135.9
354,What was the best Super Bowl commercial ?,136.5
646,Would you rather be overdressed or underdressed?,137
652,Best Netflix Original Series?,137.3
175,What's your favorite beer at Monktoberfest (day 1 lunch)?,137.8
612,Fifth Harmony, or Little Mix? ,138.8
662,Wealth should be equal OR opportunity should be equal?,139.6
891,Can you ever trust someone after they cheat on you?,139.8
380,What's Leo's best role?,139.9
378,If you had to sleep with one presidential candidate who would it be?,140.5
399,I'll remember Garry Shandling for... ?,140.7
1085,Should NFL players be forced to stand for the National Anthem?,142.4
636,Do you eat your pizza crust?,144.1
389,Favorite ice cream dessert?,145.1
661,Tattoos or Piercings?,145.6
607,Would you rather your first kid be a boy or a girl?,146.2
599,Would you rather have a real working lightsaber, or save a starving child in Africa that you will never meet?,146.9
656,Who's your favorite: Dory or Nemo?,148.1
373,Was Harper Lee a great novelist?,148.8
377,When will marijuana be completely legal in the US?,149.6
598,I got a Doctor Who shirt from shirtpunch, can anyone tell me who it is?,151.5
910,Never be able to listen to music again, or never be able to watch another movie?,151.5
386,Does Erin Andrews deserve $55 million for being videotaped naked without consent?,151.6
895,Gangster or police?,152
849,Your position on the political spectrum?,154.2
666,What does this title mean for LeBron's legacy?,154.6
663,Which is the best continent?,154.8
414,Who's worse... ?,154.9
876,Which threesome would you prefeer?,155.1
393,How will you celebrate St Patrick's Day?,155.6
877,What gets you more high?,155.9
600,Would you rather find true love, or ten million dollars?,158
898,Do you think there has been a coup in Brazil?,158.3
405,How do you know what size to buy when shopping for clothes online?,158.5
392,Are you outraged over the Tilikum saga?,159
387,Is Kim Kardashian's naked selfie empowering?,159.5
416,Should something be done to prevent UConn's women's basketball team from winning everything all the time?,159.8
637,Are women better drivers then men?,160
670,When deciding where to move which criteria carries the most weight in your decision?,161
372,Chicken or Pasta?,163.2
375,Who does Jeb Bush dropping out help most?,163.2
357,Where does Kevin Durant play next year?,164.2
417,I'll always remember Merle Haggard for... ?,164.3
385,Can a single parent be as effective as two?,165.1
371,Do you think Apple should help the government de-encrypt the iPhone?,165.8
940,Would you swim in the Olympic pool that mysteriously turned green?,167.2
366,What Republican candidate has the best shot to defeat Trump?,168.7
619,Brownie Mix or Cookie Dough?,169.3
601,Who would you have sex with?,170
363,Mulder & Scully - now or then?,170
419,Is Jordan Spieth's Masters collapse the biggest choke of all time?,170.4
194,Who would you want to have in your corner?,172.2
396,Who's your favorite Disney Princess,173.3
397,Is ISIL getting stronger?,174.2
398,After the terror attacks in Brussels are you more or less likely to vote for Trump?,178.4
404,Will you watch The Walking Dead season finale?,182.2
899,After having relations with a man I was deployed with in Iraq I came back to the states and found that they might not have been broke up, what do I do now?,182.3
678,Will the Knicks regret the Derrick Rose trade?,182.7
214,Should the Russians be banned from the 2016 Olympics for steroids?,183
401,Is Donald trump a politician?,184.9
382,Is global warming caused by humans?,185.9
667,should i go to the gym,187.3
896,Was 9/11 an inside job?,188.9
413,Who invented the internet?,189.6
510,Phoenix Wright Trilogy (3DS) or Fire Emblem Fates: revelations?,191
359,Is Jon Snow really dead?,191.2
415,Are you surprised by the Panama Papers scandal?,191.3
403,When given the choice, how do you prefer to travel?,191.5
674,What should one bring to their host family's thanksgiving?,191.5
422,Will the Warriors 73 wins record ever be broken?,191.7
610,Bourne or Bond?,192.6
628,Can men and women just be friends?,193.9
383,Are tattoos still cool?,195.1
558,Can the Warriors bounce back?,196.7
364,Is Steven Avery guilty of murder?,196.9
542,What do you think of the new Apple flagship store?,197.3
430,It's early but who leads the Conn Smythe "watch" list?,199
547,Which would you rather pop?,199.3
376,What the greatest movie parody of all time?,199.3
502,Superman & Hyperion. Who will survive the fight?,201.1
503,What's the best movie remake of all time?,202.9
672,Should Britain leave the EU?,205.2
390,How often do you check your email?,205.3
408,Are you the type of person who...,206
911,Have you ever eaten an insect? ,206.6
418,Are you offended by Bomani Jones' "Caucasians" shirt?,208.5
429,Who wins the NBA title?,209.4
673,Do you ever talk on your phone like this?,209.7
506,Where will Kevin Durant end up next season?,209.7
423,Is Kobe's 60 point game the greatest finale of all time?,210.7
501,Thanos Vs Darkseid. Who will win?,211.1
395,What technology will have the greatest effect on humanity?,211.7
549,Which one is your favorite Muppet?,212.4
554,why is dc turning everyone into superheroes?  ,212.7
411,What is the best pizza chain?,213.1
551,Were you offended by Blake Lively's "LA face with an Oakland booty" post?,213.7
412,What is zero divided by zero,213.9
657,Is everyone (at least a little bit) racist?,214.6
557,Who is the best?,215.6
548,Would you rather not have arms, or not have legs?,216
677,Are you a Spock or a Kirk?,216.8
508,Is LeBron being a sour grape or just the asshole that he is? ,217.1
400,Will this sex scandal end Ted Cruz's campaign?,217.8
409,Is the Tesla Model 3 the electric car that goes mainstream?,218.5
543,Who won in batman vs superman movie?,220.1
671,Scariest animal?,223.4
897,Girls. How many times do you expect to have sex in a happy relationship?,223.5
507,Hate him or Love him?,225.2
553,thor vs superman who would win,225.7
545,PS4 or Xbox One,227.3
505,Does anyone want to leave a last goodbye to friends and family via social media before they die?,228.7
679,Do you agree with Ben Affleck on Deflategate?,229.6
556,Do you check your phone before bed?,230.3
900,Which game should I buy: Last Of Us or Watchdogs for PS4?,231.4
544,Donuts or Ice Cream?,231.6
751,Which Pokemon Go team did you join?,231.8
349,Is this the year Leo finally wins an Oscar?,233.1
406,Does "Black Privilege" exist?,235.1
659,Would you sleep with a transexual?,235.9
552,Simpsons or Family Guy?,236.9
365,Who should appoint the next Supreme Court justice?,238.4
559,Who should make more: waiters or cooks?,238.5
546,Tacos, bacon, or pizza? Which one reigns supreme? ,239.2
668,Would you ever have a threesome?,239.4
736,Is Pokemon Go the greatest app ever?!?,240.4
560,What is the greatest John Hughes movie of all time?,244
421,What should minimum wage be in the US?,248.1
563,Would you sacrifice yourself if it meant that everyone could live?,250.2
675,Best way to cool down on a hot day?,250.9
420,Are red light traffic cameras fair?,250.9
562,What's the point of Life?,252.2
561,Worst Jolly Rancher flavor?,253.8
360,Is Adnan Syed Innocent?,255.6
901,Who killed JFK?,256
541,Does Brady Murray have a good serve?,256.7
428,which singer can sing the best,257.5
568,Would rather have your earphones get hooked on to every door handle or have one hear play slightly louder than the other?,258.3
566,Do you think social media has a positive or negative effect on your life overall?,259.2
384,If you could only eat one meat for the rest of your life?,261.1
512,Does it bother any one when some people make "quote marks" when they are talking ,262.4
676,Which is more expensive, a son or a daughter?,264.1
509,Are you the kind of person who likes to dip a toe in first, or do you jump right in?,265.1
504,Do you like Instagram's new logo?,266.5
424,Who won the latest Clinton-Sanders debate?,268.1
345,Should Ariel Winter have hidden her breast reduction scars?,270
426,Where Is Your Dream Place To Live?,270.1
500,What do you think about Budweiser changing their name to "America",276.2
427,which fast food restaurant has the best fries?,277.6
437,Which modern Doctor is the best?,282.7
578,Who wins the Champions League final?,284.7
515,Best rapper right now ?,286
438,Which of these American Idols is the best?,287
701,Who's the best Pokemon trainer?,288.9
433,Why in the world does Michael Buble eat corn like this?,290.3
511,Which is the better movie,291.7
569,How fast do you recover from breaking up?,297.5
564,Would you rather be a famous actor or musician?,298.4
516,DO YOU THINK ALL THESE ORGANISATION THAT ARE TRYING TO SHOW GENDER EQUALITY BY GIVING SO MANY OPPORTUNITIES AND PRIVILEGES TO ONLY WOMAN IS KIND OF SEXISM AGAINST MEN,298.8
550,Do you spend more time worrying about the past or the future?,299.5
514,Which of these you think is a better series?,300.9
499,Would you rather give up the Internet for a year, or only be able to use the Internet for three hours each week forever?,301.6
576,Would you rather only eat ketchup for the rest of your life, or be married to an elephant?,303.2
431,F, M, K: Bernie, Hillary, Trump,304.1
681,Which way should utensils go in the dishwasher?,311.5
902,Do Aliens Exist?,311.9
435,how will you celebrate 4/20?,312.3
577,biggest sporting event: Champions League final vs. The Super Bowl?,313.3
699,Is sex on the first date ok?,316.3
436,When invited to dinner the host says not bring anything. Do you...,318.1
407,Will you vaccinate your child?,323.2
903,Are you excited for the Olympics?,324.1
575,Who would you rather see debate?,327.1
570,Do you think people are too easily offended these days?,336
513,Are you nervous on Friday the 13th?,336.7
432,Which One Of These Things Does Donald Trump Look The Most Like,338.6
680,Are you excited for self-driving cars?,339.6
571,What's worse a cold toilet seat, or a warm toilet seat?,350.5
579,Should College Athletes be paid?,352.1
658,Will a woman ever be good enough to play in the NBA?,353.8
473,What's the best lunch spot in Mendocino, California?,354.8
904,Which racing game should I buy for PS4: NFS Rivals or Driveclub?,355.1
520,Which is a more preferred name for my new dog?,356
434,Would you buy an Apple car?,357.6
518,Neat or messy, which one are you?,359.3
519,DO YOU THINK  SUICIDE SQUAD IS GONNA BE THE BEST MOVIE OF DC OF ALL TIME? ,361.1
521,Ferddy Krueger vs Michael Myers vs Jason Voorhees, who'd survive?,364.6
517,WHAT KIND OF BOOBS DO YOU LIKE ?,365.3
439,To me, Prince will always be?,365.5
580,What is the greatest mystery of all time?,366.2
567,What would be the best Super Power?,367.9
682,Will the UK thrive apart from the EU?,367.9
581,How many times do you swear per day?,389
465,Which dress is better looking? This is for my final year in high school ball.,392
584,Manga or Comics(DC/Marvel),395.6
685,What does this symbol mean?,407.8
586,Who wins game 7 of the Western Conference Final?,411.2
440,What's your perfect Friday night?,412.9
683,See a great concert, or a great sports event?,415.4
574,At what age is it unacceptable to eat cold pizza for breakfast? ,421
466,Would you use an app which allows you to meet people with common interest?,422
474,What is your favorite street in San Francisco?,422.7
522,WHICH OF THESE DO YOU THINK IS THE BEST TV SERIES? ,426.7
445,Who's your favorite Game of Thrones character?,427.4
582,Should going to college be free?,431.2
583,What's your favorite breakfast food?,432.1
442,Would you rather have noodles or bacon for hair?,435.9
441,Is there 1 person who knows everything about you? All your secrets.,436.3
443,Strip clubs are?,437.3
555,Would you rather be smarter or better looking?,442.6
425,Is Ted Cruz The Zodiac Killer?,444.5
461,Is Ezekiel Elliot's "crop top" the worst draft day look of all time?,446
525,Do you ever brush your teeth on the toilet?,447.7
585,Who will win in a battle- Superman or Spider-Man,447.8
444,Blonde, brunette or other?,451.6
529,Who wins the NBA Championship?,453.3
684,What do you wear to bed?,458.1
527,Would you like to proposal a girl who is elder than you (if you are a boy)------would you like to accept proposal of a boy who is younger than you(if you are a girl)?,460.1
850,Would you be embarassed to admit you met your significant other online?,460.4
687,Who is the best super sayian?,468.8
460,Do you think you're crazy?,469.4
689,Best Girl Scout Cookie?,470.6
469,If you had one shot, one opportunity, to seize everything you ever wanted, one moment, would you capture it, or just let it slip?,470.6
524,Which is best for Gaming?,473.4
468,Can you lick your elbow?,474.8
587,Quicksilver or Flash,478.8
447,Which would you ride into battle?,479.2
448,Which would you rather be stuck in an elevator with?,483
446,Would you rather be forever 12 or forever 35?,483.9
467,Do you eat the end pieces on a loaf of bread?,484.7
478,Best men's shopping today?,497.3
526,Soda tastes best in....,498
470,Do you like ranch or ketchup better on fries?,501.3
523,Would you rather have no internet or have the world be in darkness with internet?,504.1
449,If one synchronized swimmer drowns, do the rest have to drown, too?,512.6
572,If you could control one of these elements, which would it be?,520
475,Should Ted Cruz be forced to carry his aborted Presidential Campaign to full term?,522.5
597,How can i monitor business spending against a budget?,534.7
463,How many olive garden breadsticks could you eat in one sitting?,534.9
905,Who are you most envious of?,538.1
613,Does this woman's finger length toes creep you out?,546.2
688,What is the best Pixar movie?,551.2
471,If you had to lose one sense, which one would you choose?,555.7
472,What do you actually do while you procrastinate?,561
450,Would you rather know what happens after death or how the world began?,569.9
451,Have you ever written a letter by hand and sent it in the mail?,571.9
477,How much will you pay for farm fresh eggs?,574.4
772,Taylor or Kanye, who's side are you on?,578.9
532,Define "Valuable",582.8
588,Would you rather be a (Super) Hero or Villain? (You do not have to kill anyone to be a Villain),583
531,When someone says 'Now I'm not trying to be rude' I know they're about to?,584.3
530,Would you rather smoke with Snoop Dogg, or Wiz Khalifa?,592.1
589,Scooter or Skateboard ?,593.4
453,What's the best Star Wars movie?,595.7
686,Can long distance relationships work?,597
452,Do you like background noise when you sleep?,619.3
454,What's the correct amount of time to spend in Vegas?,653.6
1317,Who did you vote for, Trump or Hillary?,657.9
590,Who you got?,663.5
694,Which is the best Region of all time??,665.4
533,Today's God: Ronaldo or Messi?,693.5
455,What do you think of Disneyland?,705.3
479,Did Ted Cruz drop out of the presidential race to focus on zodiac killing?,707.8
476,Hillary v Donald, who wins?,740
528,Are you excited for the new (all female) Ghostbusters?,750.8
690,Is God real,761
480,Sherlock or Doctor Who?,764.2
878,Are you always hot or always cold?,768.6
536,MOOC or go to school?,771.3
482,Chicago Cubs: Is this finally the year?,782.3
535,Where do you like share your photos?,806.2
456,Who wore it better?,807.5
691,Do you believe in Rebirth?,818
481,You have 3 options for toilet paper; duct tape, sand paper or your hand, which do you choose?,840.9
483,How do you celebrate Cinco de Mayo?,846.5
621,Should Bernie Sanders drop out now?,857.9
692,Which is Green Day's best song?,903.3
1070,Will you buy the iPhone 7 even though it has no headphone jack?,917.8
695,Who wins Game of Thrones?,921
534,Pizza or burger?,928
912,Drake or Eminem?,946.6
484,Does Trump's racist "I love Hispanics" post surprise you?,966.6
592,Warriors or Cavs, who wins the NBA Finals?,992
457,Which would you rather be?,994.2
591,Should a zoo animal be killed if a human enters its cage?,1006
611,If you could, would you bring Tupac or Michael Jackson back from the dead?,1008.3
487,Is JT's 'Can't Stop the Feeling' already the song of the summer?,1064
537,Who do you love most?,1084.1
486,Who is richer Tony Stark (Ironman) or Bruce Wayne (Batman),1129.7
485,Should Caitlyn Jenner appear nude on the cover of SI?,1138.8
593,Would you let your child play football?,1281.1
462,Did you text your ex after listening to Drake's new album?,1296.4
488,Would you rather have 1 trillion dollars, or find true love?,1365.5
538,Who you love most?,1367.3
458,Does it bother you when people don't put a question mark after the question,1375.6
489,What type of Apocalypse do you think will happen?,1378.5
594,Hay Day or FarmVille?,1401.5
490,Are you afraid of your basement?,1418.1
491,How many rats do you think live in Donald Trump's hairpiece? ,1481.3
493,Whose side are you on?,1573.1
906,Which Is The Best Meme of 2016?,1586.8
696,Could you date a person who lived with a roommate of the opposite sex?,1625.2
464,Planet, rare skin disease, or hamburger patty from a local high school?,1634.9
495,Do you like Justin Bieber's new face tattoo?,1686.7
648,Do you think we need to ban civilians from buying assault rifles?,1713.9
941,Is Donald Trump just misunderstood by the media, or is he really just a garbage troll monster,1794.8
496,Best truck?,1964.1
494,Do you pee in the shower,1990.9
539,Have you ever sent a nude photo to anyone?,2663.8
693,Are there really more than two genders?,3158.1
497,How often do you masturbate?,3160.9
595,Favorite luxury brand?,3821.9
459,Marvel or DC?,5537.4
573,Would you rather be rich and ugly, or poor and hot?,5950.7
697,Should Abortion Be Made Fully Illegal?,7669.9
540,Which is better ,11445.7
698,Which is truly better, iPhone or Android?,15448.8
596,Who's the worst announcer in sports?,20246.8
498,Which Pokemon is the best?,24907.2
